,logFC,AveExpr,t,P.Value,adj.P.Val,B
AL031229.1,1.01527659509595,-2.98944888353547,4.49376236624448,7.9352003797819e-06,4.95338718069129e-05,2.82437285130374
IGFBP1,1.73636144729529,-2.51432613347826,4.49242711469926,7.98399942811472e-06,4.9798705521808e-05,2.81854171080522
UTS2,1.38440743452509,-1.84296669586957,4.48973835606039,8.08313810890923e-06,5.03309698163468e-05,2.80680472636476
KDELC1P1,1.07013521174803,-3.24766423885126,4.48933708764106,8.09803420659169e-06,5.04065074461742e-05,2.80505368249254
DOK7,1.05056969724606,1.21110752154691,4.48869218132093,8.12202984501486e-06,5.0547990015046e-05,2.80223977143627
AC124067.3,1.45944248069762,-3.5796943105595,4.48808945660677,8.14451753085215e-06,5.06727774257716e-05,2.79961025973595
AC017074.1,1.17700169782692,-0.903286028803204,4.48582202995616,8.22965050734681e-06,5.11675269409269e-05,2.78972116002178
LY6G6E,1.52832132191975,-4.13098075695194,4.48114928908962,8.40778871362516e-06,5.22098096834387e-05,2.769356630373
AF127577.3,1.65506910954248,-3.51014669245538,4.47974083409155,8.46220316668758e-06,5.25000229357959e-05,2.76322234002884
RPSAP71,1.68668405281893,-3.98186018456522,4.47701589625408,8.56843745494608e-06,5.3086847145251e-05,2.75135955643733
CSAG2,1.51214869624236,-5.02549711702975,4.47360621523142,8.70316619727547e-06,5.3872756355815e-05,2.73652551124027
LINC01602,1.58083626931912,-4.13336935164416,4.47206167581388,8.76486170338732e-06,5.42301030392273e-05,2.72980944141932
KRT18P20,1.04311562510746,-3.22897189278375,4.46396440097247,9.09521275657491e-06,5.61470272822647e-05,2.69463657529535
MUC3A,1.31490764519294,6.90602042951945,4.46245113725919,9.15825809395641e-06,5.6485219491311e-05,2.68807002749246
LINC01655,1.21044718567624,-4.15285711765446,4.46072438114274,9.23070884859956e-06,5.6893579048248e-05,2.68057966418476
F2RL2,1.09701397681819,2.88373982143021,4.46023347645022,9.25140602720193e-06,5.69890362268059e-05,2.67845071183268
OR13Z2P,1.02162995372877,-4.80496621212815,4.46003688330477,9.25970709774702e-06,5.70273257190939e-05,2.67759819069688
PRSS51,1.42381659276582,-1.6451012795595,4.45625195575345,9.42092083022584e-06,5.79353794478528e-05,2.66119194826963
DUSP27,2.74371242008524,-0.177078514232265,4.44978267062476,9.70270864114639e-06,5.95010258019399e-05,2.63318083425842
LINC00543,1.05340012711454,1.61693374211327,4.44971113393227,9.70586925005381e-06,5.95137352726113e-05,2.63287130758561
CYCSP6,1.62890624170314,-2.883874447027,4.44959717675261,9.71090610066424e-06,5.9537945205227e-05,2.63237824475396
AC021074.1,1.11743162426535,0.0450195090114417,4.44933092008297,9.72268426347593e-06,5.95834415451895e-05,2.63122626899873
LINC02156,1.0256663610691,-4.38056052265446,4.44928828912132,9.72457136099816e-06,5.95883296650005e-05,2.63104182965493
BMS1P22,1.14204832431424,-4.78803699135469,4.44627397589454,9.85889474559785e-06,6.03640712090534e-05,2.61800493271113
AL138760.1,1.08044394717487,-4.65508213382151,4.44519732436148,9.90730120523e-06,6.06400894606149e-05,2.61335046395611
AC027288.3,1.04944112181325,-2.69410662892449,4.43844732402815,1.02160041542265e-05,6.24178225218297e-05,2.58419410687614
AL354707.1,1.07865966320456,1.59885390324943,4.4374281214729,1.02634083685107e-05,6.26864456410603e-05,2.57979538173302
GNGT1,1.88957727809064,-2.74281344489474,4.43666604450759,1.02989908111028e-05,6.28686721443378e-05,2.57650700287819
NXPH1,1.27174768663973,-4.42876001529725,4.43635735955386,1.03134373005941e-05,6.29428088770358e-05,2.57517517412898
KISS1R,1.31790067005412,-2.55618332776316,4.43332596608215,1.04563405909852e-05,6.37580321765813e-05,2.56210085894553
SAA2,1.66383982523991,0.293086135789474,4.43287760000501,1.04776371963767e-05,6.38807676352498e-05,2.56016779375939
CD70,1.03845550047506,-0.0180115324535469,4.4280076220905,1.07116415127413e-05,6.51621880257355e-05,2.53918363060325
LGALS4,1.35937932808126,8.94361777963387,4.42544030917328,1.0837005757477e-05,6.58808524958545e-05,2.52813025651939
WASIR2,1.1062687716274,-2.8985453585778,4.42534033572121,1.08419158288656e-05,6.58968436359521e-05,2.52769995225286
RAD51AP2,1.21758766478087,-2.94887387262014,4.42487012690428,1.08650381004187e-05,6.60145810822486e-05,2.52567621100116
DNASE2B,1.03547940472234,-2.75561643555034,4.42255760151614,1.09794433564432e-05,6.66504610855338e-05,2.51572627796971
LHX1,1.45517194588247,-4.31707403746911,4.42191053314457,1.10116608437297e-05,6.68237867355814e-05,2.51294307482372
MIR148A,1.04978763003011,-4.29933665114416,4.41887849586126,1.1163833969483e-05,6.76871631704768e-05,2.49990670975916
AC080129.2,1.0688952635013,-2.09287557186041,4.41532900614468,1.13445326458187e-05,6.86989828457766e-05,2.48465640020519
SLCO1B1,1.43447996776618,-4.3415955158238,4.41029542488496,1.16055857980974e-05,7.01633154887738e-05,2.46304981381572
CHRNA6,1.04529310556662,-3.43170653340961,4.4098693955225,1.16279423846629e-05,7.0282938305795e-05,2.46122216974434
TREM1,1.16649901903895,1.17600079729977,4.40871818180289,1.16885603680506e-05,7.06103169130251e-05,2.45628436659779
