,logFC,AveExpr,t,P.Value,adj.P.Val,B
AF001548.1,-1.94707807692092,-3.33722685070938,-6.27085866724271,5.63128388978623e-10,6.72789585740188e-09,12.0224760984873
ZDHHC15,-1.53762598453155,-1.18616041578673,-6.26817116974504,5.72506789650032e-10,6.83248065893706e-09,12.006443600944
PTENP1.AS,-1.34017953902948,-5.36545240683066,-6.26509014191075,5.8344637879708e-10,6.95393325088391e-09,11.9880711896111
SLC18A3,-2.04754007827854,-4.52139526994737,-6.26398462144501,5.87421267471503e-10,6.99673480495511e-09,11.9814808960746
MAFTRR,-1.34158346474295,-2.37674382897025,-6.25988452474621,6.02395566408225e-10,7.16261424015171e-09,11.9570484380838
AC124312.3,-1.69244377969343,-3.42154086617849,-6.2556369411711,6.18301859175286e-10,7.33738776038018e-09,11.9317525239593
AC244205.1,-1.7885157023655,-3.55458444465675,-6.25299380444393,6.28406262010078e-10,7.45083037083053e-09,11.9160195983911
UGT1A4,-1.35824110335462,-5.51532132655606,-6.25211430561804,6.31804131619031e-10,7.48949436040375e-09,11.9107858441828
PRRT4,-1.79805900279737,-2.82951957749428,-6.25171308844232,6.33360158180668e-10,7.5063128606049e-09,11.9083984896447
LCN6,-1.59786588798185,-3.81296723466133,-6.24910568371712,6.4356401289166e-10,7.61898997513189e-09,11.8928871137369
CACNA2D3,-1.340848520544,-0.806711258646453,-6.24455948157231,6.61740773715917e-10,7.82740303165919e-09,11.8658560354554
NPTX1,-2.33808076840263,-0.806723067527918,-6.24303524124537,6.67946609609174e-10,7.89739295559312e-09,11.8567971426632
AC092834.1,-1.66372923217344,-4.64194944503547,-6.2427557238963,6.69090799581687e-10,7.90921142924582e-09,11.8551361294575
STOX2,-1.80629084687889,0.560980172628146,-6.23337381626462,7.08626149801808e-10,8.3566854815459e-09,11.7994242157204
CLIP4,-1.50236458610832,2.30325857967391,-6.23041459631385,7.21563312548487e-10,8.50375035118283e-09,11.781867586694
ACKR2,-1.19001960805824,-0.0953456952379863,-6.23009666783103,7.22966891064347e-10,8.51662160386914e-09,11.7799818160302
TARID,-1.51548131364206,-1.96676592131236,-6.22923988573378,7.26762675803921e-10,8.55765006525198e-09,11.7749003108513
AR,-1.5723258109562,0.597216294504577,-6.22463424486948,7.47503060404445e-10,8.79051384408108e-09,11.7475955820848
LANCL3,-1.26656871547413,0.357035474368421,-6.22080874661414,7.6516900890919e-10,8.9905303850243e-09,11.7249300055598
TSLP,-1.38302526401598,-1.21482611660973,-6.2187631898591,7.74781999840629e-10,9.097617321014e-09,11.7128155799869
ABCA6,-1.70863903911544,0.469566293846682,-6.2146298829649,7.9456774910218e-10,9.31994060414835e-09,11.6883479710202
ANO5,-2.29631793455956,0.292033729713959,-6.21436762632214,7.95839667906335e-10,9.33285819814259e-09,11.6867960133521
SLC7A14,-1.97682562873631,-3.61935218106751,-6.21055163450124,8.1457346451336e-10,9.54232076280964e-09,11.6642208765275
GSTA3,-1.35300964961276,-5.58352651784897,-6.20574947984147,8.38761726873798e-10,9.80467464230869e-09,11.6358297034581
ZDHHC22,-1.51487832435801,-4.97162519932494,-6.20382868051256,8.48631962284227e-10,9.91369610788889e-09,11.6244792316068
IRX6,-1.74472371064352,-4.70679304587071,-6.19537515204797,8.93436880758091e-10,1.041930281302e-08,11.5745634970504
CPNE6,-1.95703006931285,-1.86802184454233,-6.19351458956377,9.03604081697781e-10,1.05311368524313e-08,11.5635857592292
CHAT,-1.5316068208147,-5.21227618939359,-6.19313151193768,9.05711429816856e-10,1.05512005652466e-08,11.5613258896967
NCOA7.AS1,-1.35261516049917,-5.15813082631579,-6.18710582734356,9.39497943670573e-10,1.09238605503958e-08,11.5257957282839
AC111182.1,-1.50654942554891,-3.5496448065103,-6.18104321448129,9.74733078993276e-10,1.13194071607743e-08,11.490079785762
ALK,-1.67642103045409,-3.31899797820481,-6.1769019107629,9.9954043728857e-10,1.15850528115063e-08,11.4657010560955
LGI4,-1.18321271314478,1.31963432847025,-6.17489110119736,1.01180701702035e-09,1.17148147324149e-08,11.4538693643463
ALKAL2,-1.35062713457693,-1.59264196843936,-6.16590222870955,1.06846379139586e-09,1.23264347332623e-08,11.4010215955675
TUBB4A,-1.68463526752102,-1.36700960480778,-6.15834161455973,1.11850772320901e-09,1.2871192914142e-08,11.3566255268128
AMPD1,-1.98165903466904,-2.09663023527231,-6.15203625478552,1.16198756921386e-09,1.33490674434262e-08,11.3196385142386
TREH,-1.54274341903544,-0.0478779665961098,-6.15105060229528,1.168931852871e-09,1.34232054782236e-08,11.3138598511543
SLC22A17,-1.20725617563471,2.34918579169908,-6.14759059586957,1.1936312034053e-09,1.36838521631216e-08,11.2935813162712
IGKV1.35,-1.12551071378176,-5.94553683558581,-6.1466495842133,1.20043632646412e-09,1.37560999111575e-08,11.2880680092616
IQCJ.SCHIP1.AS1,-1.17062180081686,-5.65484814289245,-6.14644338550538,1.20193254852733e-09,1.37674765951209e-08,11.2868600119734
AC104825.1,-1.07531971912364,0.630689333044622,-6.14314710938543,1.22609975556848e-09,1.40208083066732e-08,11.2675541078831
AC124312.2,-1.58675304540183,-3.96002442861556,-6.14076987202472,1.2438227304026e-09,1.42056555104135e-08,11.2536367998181
ZNF667.AS1,-1.25490179248642,0.795382468125515,-6.1394819382586,1.25352886755677e-09,1.43105325424792e-08,11.246098778009
TXLNB,-1.40936824433857,-0.714105354894737,-6.13874715682582,1.25909942715352e-09,1.43621362185947e-08,11.241798897027
IGSF10,-1.74003629821729,-0.160924231717391,-6.13613173069241,1.27912446396399e-09,1.45844720776549e-08,11.2264974663161
AC053503.5,-2.265907923238,-3.70522854931922,-6.13402633855853,1.29547005089176e-09,1.47616113403177e-08,11.2141843104538
MEP1B,-2.18890255740121,-1.51777682825515,-6.13342737234863,1.30015737935925e-09,1.48057688661366e-08,11.2106820300767
ELOVL4,-1.26360774203064,-0.560581389463272,-6.1306329327912,1.32224558616116e-09,1.50353892588534e-08,11.194346504451
RPTN,-1.80855386232207,-5.38247595459954,-6.12982755084514,1.32867933425287e-09,1.50991307265657e-08,11.1896397304361
AP001528.2,-1.31979133692844,-0.630275857310069,-6.12502093945889,1.36771709373944e-09,1.5510530052266e-08,11.161560960053
UBXN10.AS1,-1.52512321791391,-2.17261205682609,-6.12066477064451,1.40406238367766e-09,1.58930447175599e-08,11.1361309933657
GRIN2A,-2.55803270858594,-1.58672771009153,-6.12018659798395,1.40810894907131e-09,1.59355512041082e-08,11.13334058022
CAMK2A,-1.40285639475695,-1.63356400562128,-6.12010511886859,1.40879960556606e-09,1.59382289307001e-08,11.132865122553
CNN1,-2.04304254453542,4.89506716424485,-6.11781681140611,1.42833206098944e-09,1.61477102265022e-08,11.1195144613396
